148;Lyo mango;Kg;165,55
149;Malto;Kg;58,18
150;Mangopoeder ;Kg;59,63
151;Metil;Kg;136,57
152;Pectine;Kg;63,4
153;Pro espuma koud;Kg;32,79
154;Pro espuma warm ;Kg;49,4
155;Procrema ;Kg;25,82
156;Prosorbet;Kg;27,22
157;Rode biet gevriesdroogd;Kg;50,87
158;Sorbitol ;Kg;8,15
159;Sucro;Kg;163
160;Trisol;Kg;17,105
161;Xantana;Kg;54,33
162;Yopol;Kg;41,25
163;Aka miso donkere sojaboonpasta;Kg;11,48
164;Bonitovlokken;Kg;95,9
165;Citroen geconfijt met zout;Kg;7,88
166;Dashi no moto vispoeder;Kg;19,95
167;Gember op azijn amazu shoga;kg;25,11
168;Inktvisinkt 4gr;Stuk;1,57
169;Kroepoek;Kg;12,04
170;Rozenwater ;Liter;9,72
171;Shichimi togarashi;Kg;29,83
172;Shiro miso  bleke sojaboonpasta;Kg;11,52
173;Tahin sesampasta;Kg;53,16
174;Tamarinde pasta ;kg;9,7
175;Ajinomoto natriumglutamaat;Kg;7,95
176;Wasabi furikaki;Kg;124,38
177;Wasabipoeder;Kg;158
178;Wasabitube;kg;62,79
179;Dulse gedroogd ;kg;117,6
180;Wakame gedroogd krulwier;Kg;122,3
181;Konbu zeewier gedroogd;Kg;98,22
182;Nori zeewierbladen 10 stuks;Stuk;7,37
183;Wakameblaadjes gedroogd;Kg;46,46
184;Bessen roze ;Kg;61,48
185;Bicarbonaat;kg;6,66
186;Bruschetta mix;Kg;58,63
187;Cajun;Kg;29,56
188;Chinese 5 kruiden;Kg;31,1
189;Fenegriek graan;Kg;16,9
190;Foelie gemalen;Kg;114,69
191;Foelie schors;Kg;136,36
192;Harissatube;kg;9,285
193;Jamaicaanse peperbollen;Kg;177,2
194;Karwijzaad;Kg;26,63
195;Patrelle;Liter;13,56
196;Peper cacao framboos;Kg;78,79
197;Peper fruit forest fruit;Kg;81,2
198;Peper fruit lemon;Kg;87,5
199;Peper fruit orange;Kg;84,03
200;Peper fruit strawberry lemon;Kg;87,96
201;Peper season garlic-sjalot;Kg;94,17
202;Peper season wild mushroom;Kg;110,15
203;Peper seaweed garlic;Kg;98,11
204;Peper seaweed lavendel;Kg;90,4
205;Peperbollen sechuan;kg;142,14
206;Pimenton de la vera sweet;kg;44,28
207;Pimenton de la vera hot ;kg;46,43
208;Ras el hanout rood;Kg;65
209;Sambal manis;kg;15,75
210;Sumak;Kg;70,9
211;Tabasco groen;liter;49,33
212;Zoethout stok 165g;Stuk;5,87
213;Zout colorozo pekel;Kg;2,872
214;Zout himalaya grof;Kg;6,8
215;Zout perzisch blauw;Kg;62,56
216;Zout zee grof;Kg;1,664
217;Kappertjes gepekeld;kg;227,85
218;Mosterd;kg;5,9
219;Boschampignons mix gedroogd;Kg;37,9
220;Gedroogde hoorn des overvloeds;Kg;54,31
221;Kers gekonfijt (rood);kg;10,03
222;Krenten;Kg;8,84
223;Morilles gedroogd;Kg;347,37
224;Noten amandelen stiften;Kg;23,11
225;Noten kastanjes vacüum gegaard;Kg;34,1
226;Noten macadamia gepeld;Kg;50,92
227;Shii-takes gedroogd;Kg;45,38
228;Sinaasappelschillen gekonfijt;Kg;29,95
229;Amarenakersen;Kg;23,06
230;Artisjokbodems blik;Kg;6,525
231;Carciofini's artisjok in olie;Kg;16,34
232;Cêpesjus in blik;Kg;16,27
233;Pepers rood blik ;Kg;3,32
234;Piquillos de los lodos ;Kg;25,24
235;Slakken petits gris 48 stuks;stuk;20,49
236;Dashi - jiru tosazu;liter;96,97
237;Hoisinsaus;Liter;12,31
238;Ketjap zoete sojasaus;Liter;4,59
239;Ketjap manis;Liter;4,15
240;Oestersaus;liter;15
241;Ponzu;Liter;18,75
242;Shoyu japanse sojasaus;Liter;26,53
243;Sojasaus light;Liter;13,36
244;Sojasaus witte;Liter;57,31
245;Olie amandel;liter;71,28
246;Olie argan;Liter;75,8
247;Olie basilicum;Liter;47,96
248;Olie pikant;Liter;47,8
249;Olie koolzaad;Liter;3,42
250;Olie limoen;Liter;543,4
251;Olie look;Liter;276,2
252;Olie pistache;Liter;139,64
253;Olie pompoen;Liter;39,8
254;Olie sesam;Liter;43,08
255;Olie truffel;Liter;34,68
256;Olijfolie arbequina ;Liter;27
257;Olijfolie Hoji blanca valderama;Liter;25,76
258;Olijfolie Ocal Valderama;Liter;37,38
259;Azijn banyuls;liter;23,02
260;Azijn cabernet sauvignon;liter;31,18
261;Azijn champagne ;liter;8,02
262;Azijn chardonnay;liter;32,98
263;Azijn kriek;liter;28,82
264;Azijn limoen;liter;28,6
265;Azijn noten;liter;19,9
266;Azijn rijst otafuku su;liter;13,08
267;Azijn sushi;liter;13,56
268;Balsamicocrème;liter;15,06
269;Verjus;liter;44,96
270;Boekweitzaden;Kg;15,8
271;Couscous tomaat fijn;Kg;5,15
272;Farfalle 3 kleuren strikjes;Kg;5,08
273;Freekeh;Kg;13,77
274;Fregola pasta geroosterd;Kg;10,96
275;Glasvermicelli;Kg;7,9
276;Kamut;Kg;15,3
277;Lijnzaad;Kg;19,95
278;Chinese rijstvermicelli;Kg;6,56
279;Noedels soba boekweit japans;Kg;22,62
280;Noedels udon tarwe;Kg;10,44
281;Quinoa rood;Kg;9,95
282;Quinoa zaadjes  zwart;Kg;38,9
283;Rijst Jasmijn;Kg;4,66
284;Rijst kleef;Kg;3,35
285;Rijst Italiaanse rode;Kg;7,61
286;Rijst Pandan lange rijstkorrel;Kg;3,38
287;Rijst zwarte wilde canadese;Kg;16,4
288;Rijstnoedels bang pho;Kg;9,63
289;Spaghetti zwarte;Kg;6,51
290;Spelt ;Kg;11,23
291;Spirelli tricolore;Kg;2,82
292;Tapioca grof;Kg;4,625
293;Siroop Aardbeien;Liter;12,02
294;Siroop Banaan;Liter;12,19
295;Siroop Cassis;Liter;12,03
296;Siroop Cuberdons;Liter;13,48
297;Siroop Esdoorn;Liter;26,04
298;Siroop Frambozen;Liter;12,03
299;Siroop Groene Munt;Liter;9,19
300;Siroop Kers;Liter;16,32
301;Siroop Kokos;Liter;11,73
302;Siroop Mojito munt;Liter;13,69
303;Siroop Rietsuiker;Liter;6,37
304;Siroop Sinaasappel;Liter;15,9
305;Siroop Vlierbloesem;Liter;13,69
306;Thee darjeeling;kg;41,44
307;Thee earl grey;kg;71,75
308;Thee groene blad;Kg;31,04
309;Thee zwart darjeeling;Kg;41,44
310;Bamboeprikkers 10 cm;stuk;0,013
311;Bamboeprikkers 9 cm plat golfstick;stuk;0,01
312;Bamboeprikkers 18 cm plat golfstick;stuk;0,016
313;Bamboeprikkers 6 cm;stuk;0,012
314;Brideerkoord;Stuk;2,66
315;Carta fata kookplastiek;stuk;5,36
316;Gaspatronen;stuk;0,53
317;Rookmeel zaagsel;stuk;0,499
318;Sodapatroon ;stuk;0,653
319;Spuitzak plastiek koude bereiding;stuk;0,22
320;Spuitzak plastiek warme bereiding;stuk;0,363
321;Bladerdeeg 1300g;Stuk;7,73
322;Boter gezouten ;Kg;5,6
323;Emmenthal gemalen;Kg;7,43
324;Melkpoeder;Kg;15,88
325;Room 40%;Liter;3,4
326;Eendenlever dv  porties van 50 gr;kg;60,32
327;Ganzenvet;Kg;9,5
328;King krab poten;Kg;411
329;Scampi 16/20 diepvries;Stuk;15
330;Sint-jakobsschelp frozen at sea;Stuk;33
